Feel free to make a copy to keep track of your applications!,,,,
,,,,
 SWE Internship List,,,,
,,,,
,,,,
Key,Count,,,
Submitted,1,,,
Rejected,0,,,
In Progress,0,,,
Awaiting Response,0,,,
,,,,
@umxe SWE/Tech Internships (Fall 2024/Spring 2025/Summer 2025),,,,
Company,Link to application,Application Status,Details,
HP,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Spring-Texas-United-States-of-America/Software-Engineer_UNI1247-1?source=Socialmedia-LinkedIn&src=Linkedin+Full+Feed,Submitted,"These roles are least recent to most recent, scroll down for more recently posted roles",
Gwinnett County Public Schools,https://www.applitrack.com/Gwinnett/OnlineApp/JobPostings/view.asp?all=1&AppliTrackJobId=94351,,,
Amazon,https://www.amazon.jobs/en/jobs/2687204/jr-software-development-engineer-sunnyvale?cmpid=SPLICX0248M&ss=paid&utm_campaign=cxro&utm_content=job_posting&utm_medium=social_media&utm_source=jobright,,,
Amazon,https://www.amazon.jobs/en/jobs/2687123/jr-software-development-engineer-san-luis-obispo?cmpid=SPLICX0248M&ss=paid&utm_campaign=cxro&utm_content=job_posting&utm_medium=social_media&utm_source=jobright,,,
HP,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Spring-Texas-United-States-of-America/Computer-Science-Web-Developer_UNI1248-1?source=Socialmedia-LinkedIn&src=Linkedin+Full+Feed,,,
Tesla,https://www.tesla.com/careers/search/job/225220?source=LinkedIn,,,
Aechelon Technology Inc,https://jobs.lever.co/aechelon/bd164326-ff6b-43dc-b3f3-13144ebb90e6/apply,,,
Amazon,https://www.amazon.jobs/en/jobs/2730152/programmer-analyst-summer-internship-2025-us?cmpid=SPLICX0248M&ss=paid&utm_campaign=cxro&utm_content=job_posting&utm_medium=social_media&utm_source=jobright,,,
General Dynamics Mission Systems,https://gdmissionsystems.com/careers/intern-conversion-junior-embedded-software-engineer-dedham-ma-usa-2024-63730-opportunity?mode=apply&iis=LinkedIn,,,
HII Mission Technologies,https://jobs.hii-tsd.com/job/Albuquerque%2C-NM-Engineering-Intern-1-New/1201705500/?feedId=314400&utm_source=LinkedInJobPostings&utm_campaign=HII_LinkedIn,,,
Delta Air Lines,https://delta.avature.net/en_US/careers/JobDetail/Intern-Software-Engineering-Summer-2025/25638?jobId=25638&source=jobright,,,
Codeworks,https://www.linkedin.com/jobs/view/3999914813/,,,
TREW Automation,https://www.indeed.com/viewjob?jk=8e66e159681fc60c,,,
Stuut,https://www.linkedin.com/jobs/view/3999785772/,,,
Microsoft,https://jobs.careers.microsoft.com/us/en/job/1751922/Software-Engineer-Fullstack-Intern-Opportunities-for-University-Students-Redmond?jobsource=jobright,,,
ECP,https://www.linkedin.com/jobs/view/software-engineering-intern-at-ecp-3999772984/,,,
Tesla,https://www.tesla.com/careers/search/job/224962?source=LinkedIn,,,
Applied Research Laboratory at Penn State University,https://psu.wd1.myworkdayjobs.com/PSU_Staff/job/Penn-State-University-Park/Research-and-Development-Engineering-Graduate-Intern_REQ_0000050920-1?source=LinkedIn,,,
PSU Industrial Engineering,https://psu.wd1.myworkdayjobs.com/PSU_Staff/job/Penn-State-University-Park/Research-and-Development-Engineering-Graduate-Intern_REQ_0000050920-1?source=LinkedIn,,,
